X,Y,OBJECTID,COMPKEY,TOILET_ID,PRIORITY,EXISTING,HOURS_OPEN_PER_DAY,TOILET_TYPE,ACCESS_ACTIVITY_LEVEL,NOTES,LOCATION_NAME,DESCRIPTION,LOCATION_LABEL,ADDRESS,CONTACT_DETAILS,WEBSITE_HYPERLINK,WHEELCHAIR_ACCESSIBLE,PRAM_ACCESSIBLE,EditDate
115.856933039,-31.9486072349999,1,,11,None,Yes,24,n/a,High,,ROE STREET CAR PARK,,,,,,,,2019/09/13 08:01:33+00
115.860645761,-31.951160823,2,,15,None,Yes,18,n/a,High,,CITI PLACE COMMUNITY CENTRE,,,,,,,,2019/09/13 08:01:33+00
115.821051621,-31.98493214,3,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.854076507,-31.956301766,4,,31,None,Yes,18,n/a,High,,ELIZABETH QUAY BUS PORT,,,,,,,,2019/09/13 08:01:33+00
115.85096129,-31.951921781,5,,85,High,No,,Other,High,,QV1 PIAZZA,,,,,,,,2019/09/13 08:01:33+00
115.81301585,-31.9765951589999,6,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.845899156,-31.9440123539999,7,,66,,,,,Low,,CITIWEST,,,,,,,,2019/09/13 08:01:33+00
115.854329174,-31.95210615,8,,23,None,Yes,18,n/a,High,,HIS MAJESTY'S CAR PARK,,,,,,,,2019/09/13 08:01:33+00
115.858646762,-31.953445497,9,,79,,,,,High,,CARILLON,,,,,,,,2019/09/13 08:01:33+00
115.818283962,-31.9816081459999,10,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.858118591,-31.951912712,11,,75,,,,,High,,140 WILLIAM STREET,,,,,,,,2019/09/13 08:01:33+00
115.818506959,-31.9825491629999,12,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.820157863,-31.976637834,13,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.853357426,-31.952910421,14,,73,,,,,High,,CLOISTERS,,,,,,,,2019/09/13 08:01:33+00
115.82117444,-31.9830743109999,15,,41,,,,,Low,,MATILDA BAY RESERVE,,,,,,,,2019/09/13 08:01:33+00
115.818513447,-31.978210363,16,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.823219,-31.9615439999999,17,,0,,,,,,,Kings Park,,,,,,,,2019/09/13 08:01:33+00
115.866596211,-31.958200808,18,,53,High,No,,Other,High,,239 ADELAIDE TERRACE,,,,,,,,2019/09/13 08:01:33+00
115.819261051,-31.9811956149999,19,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.819313685,-31.980921001,20,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.821911272,-31.9764149019999,21,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.817218426,-31.969902987,22,,44,,,,,Low,,QEII NEW CHILDREN'S HOSPITAL,,,,,,,,2019/09/13 08:01:33+00
115.855559985,-31.953758603,23,,72,,,,,High,,CENTRAL PARK CAR PARK,,,,,,,,2019/09/13 08:01:33+00
115.866398104,-31.9516314369999,24,,51,High,No,,APT,Low,,MCIVER STATION AREA,,,,,,,,2019/09/13 08:01:33+00
115.862948786,-31.953456027,25,,50,None,Yes,18,n/a,High,,PIER STREET CAR PARK,,,,,,,,2019/09/13 08:01:33+00
115.857799872,-31.9532943469999,26,,78,,,,,High,,TARGET,,,,,,,,2019/09/13 08:01:33+00
115.837805001,-31.96239,27,,0,,,,,,,Kings Park,,,,,,,,2019/09/13 08:01:33+00
115.859212322,-31.950963665,28,,18,,,,,High,,YAGAN SQUARE,,,,,,,,2019/09/13 08:01:33+00
115.822688934,-31.9843988499999,29,,42,,,,,Low,,MATILDA BAY RESTAURANT,,,,,,,,2019/09/13 08:01:33+00
115.880160646,-31.952864292,30,,59,None,Yes,12,n/a,Low,,VICTORIA GARDENS,,,,,,,,2019/09/13 08:01:33+00
115.842301999,-31.956115,31,,0,,,,,,,Kings Park,,,,,,,,2019/09/13 08:01:33+00
115.879930153,-31.964127618,32,,48,None,Yes,12,n/a,Low,,POINT FRASER,,,,,,,,2019/09/13 08:01:33+00
115.841101327,-31.9475981369999,33,,64,High,No,,APT,High,,MAYFAIR STREET CAR PARK,,,,,,,,2019/09/13 08:01:33+00
115.856234114,-31.9572412219999,34,,30,,,,,High,Station Park FBO/BHP Billiton Water Playground Area,STATION PARK FBO,,,,,,,,2019/09/13 08:01:33+00
115.855364699,-31.956114885,35,,32,None,Yes,18,n/a,High,,ELIZABETH QUA Y TRAIN STATION,,,,,,,,2019/09/13 08:01:33+00
115.817787601,-31.9820131879999,36,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.858820272,-31.9504042519999,37,,18,,,,,High,,YAGAN SQUARE,,,,,,,,2019/09/13 08:01:33+00
115.852951338,-31.948545683,38,,25,Low,No,,APT,High,,PERTH ARENA,,,,,,,,2019/09/13 08:01:33+00
115.817050248,-31.9820601399999,39,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.870776741,-31.9579554819999,40,,55,,,,,High,,HAY STREET ACTIVITY CENTRE,,,,,,,,2019/09/13 08:01:33+00
115.859763272,-31.951361393,41,,16,,,,,High,,PERTH TRAIN STATION,,,,,,,,2019/09/13 08:01:33+00
115.858355774,-31.954570218,42,,84,,,,,High,,TRINITY ARCADE,,,,,,,,2019/09/13 08:01:33+00
115.817572273,-31.976918777,43,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.853535257,-31.952711678,44,,74,,,,,High,,CLOISTERS CAR PARK,,,,,,,,2019/09/13 08:01:33+00
115.840218,-31.962568,45,,0,,,,,,,Kings Park,,,,,,,,2019/09/13 08:01:33+00
115.860583526,-31.9501960229999,46,,2,None,Yes,18,n/a,High,,CONCOURSE LEVEL CULTURAL CENTR,,,,,,,,2019/09/13 08:01:33+00
115.857332959,-31.945893484,47,,8,,,,,High,,ABERDEEN STREET,,,,,,,,2019/09/13 08:01:33+00
115.843147,-31.9599699999999,48,,0,,,,,,,Kings Park,,,,,,,,2019/09/13 08:01:33+00
115.833225292,-31.971743444,49,,45,,,,,Low,,STIRLING HIGHWAY,,,,,,,,2019/09/13 08:01:33+00
115.821743999,-31.964682,50,,0,,,,,,,Kings Park,,,,,,,,2019/09/13 08:01:33+00
115.849945589,-31.9523730889999,51,,28,High,No,,Other,High,,256 ST GEORGE'S TERRACE,,,,,,,,2019/09/13 08:01:33+00
115.818849604,-31.980450203,52,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.860281787,-31.9505604,53,,3,High,No,,APT,High,,CULTURAL CENTRE ROE STREET CAR,,,,,,,,2019/09/13 08:01:33+00
115.860004296,-31.9492683789999,54,,6,Medium,No,,Built,High,,STATE LIBRARY,,,,,,,,2019/09/13 08:01:33+00
115.854701591,-31.94705039,55,,9,None,Yes,24,n/a,High,,JAMES STREET AUTOMATIC PUBLIC ,,,,,,,,2019/09/13 08:01:33+00
115.878054715,-31.9589307169999,56,,58,None,Yes,12,n/a,Low,,QUEENS GARDENS,,,,,,,,2019/09/13 08:01:33+00
115.860764038,-31.9516393289999,57,,14,None,Yes,24,n/a,High,,CITIPLACE REST CENTRE,,,,,,,,2019/09/13 08:01:33+00
115.856544903,-31.959050152,58,,30,,,,,High,Flo Hum FBO/Adventure Playground,FLO HUM FBO,,,,,,,,2019/09/13 08:01:33+00
115.882056592,-31.962453287,59,,60,,,,,High,,WATERBANK SITE G,,,,,,,,2019/09/13 08:01:33+00
115.820738196,-31.979603057,60,,41,,,,,Low,,MATILDA BAY RESERVE,,,,,,,,2019/09/13 08:01:33+00
115.818378663,-31.9764089729999,61,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.815987706,-31.9776515679999,62,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.844759656,-31.946765117,63,,63,None,Yes,24,n/a,Low,,HAROLD BOAS,,,,,,,,2019/09/13 08:01:33+00
115.872987498,-31.952268155,64,,54,,,,,High,,ROYAL STREET,,,,,,,,2019/09/13 08:01:33+00
115.852296114,-31.9566063519999,65,,34,,,,,High,,CONVENTION CENTRE,,,,,,,,2019/09/13 08:01:33+00
115.837366,-31.953433,66,,0,,,,,,,Kings Park,,,,,,,,2019/09/13 08:01:33+00
115.885009374,-31.9646550269999,67,,47,None,Yes,12,n/a,Low,,HEIRISSON ISLAND,,,,,,,,2019/09/13 08:01:33+00
115.819723576,-31.979322038,68,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.855092177,-31.95386652,69,,83,,,,,High,,CENTRAL ARCADE,,,,,,,,2019/09/13 08:01:33+00
115.873300973,-31.953674792,70,,56,Medium,No,,APT,Low,,WELLINGTON SQUARE,,,,,,,,2019/09/13 08:01:33+00
115.856623216,-31.953958284,71,,22,High,No,,APT,High,,TOURIST BUREAU / CAR PARK,,,,,,,,2019/09/13 08:01:33+00
115.843375,-31.956471,72,,0,,,,,Low,,Kings Park,,,,,,,,2019/09/13 08:01:33+00
115.878323955,-31.964611819,73,,49,High,No,,Built,Low,,KU DE TA,,,,,,,,2019/09/13 08:01:33+00
115.819862694,-31.983527629,74,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.818441073,-31.9860471449999,75,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.861226741,-31.955211084,76,,21,None,Yes,12,n/a,High,,CITY OF PERTH LIBRARY,,,,,,,,2019/09/13 08:01:33+00
115.857659376,-31.959703089,77,,33,None,Yes,18,n/a,Low,,BARRACK SQUARE FERRY TERMINAL,,,,,,,,2019/09/13 08:01:33+00
115.814944324,-31.983840814,78,,40,None,Yes,12,n/a,High,,BROADWAY FAIR SHOPPING CENTRE,,,,,,,,2019/09/13 08:01:33+00
115.857513992,-31.9584010149999,79,,30,,,,,High,Eastern Promenade FBO,EASTERN PROMENADE FBO,,,,,,,,2019/09/13 08:01:33+00
115.857237759,-31.951671544,80,,81,,,,,High,,RAINE SQUARE FOOD COURT,,,,,,,,2019/09/13 08:01:33+00
115.815176678,-31.984143112,81,,40,None,Yes,24,n/a,High,,BROADWAY FAIR SHOPPING CENTRE,,,,,,,,2019/09/13 08:01:33+00
115.857536675,-31.950371182,82,,17,None,Yes,18,n/a,High,,WELLINGTON STREET BUS STATION,,,,,,,,2019/09/13 08:01:33+00
115.847488743,-31.9467449599999,83,,65,,,,,Low,,WATERTOWN,,,,,,,,2019/09/13 08:01:33+00
115.860901971,-31.95060783,84,,13,High,No,,APT,High,,ART GALLERY,,,,,,,,2019/09/13 08:01:33+00
115.850275082,-31.949659057,85,,24,None,Yes,18,n/a,High,,ELDER STREET CAR PARK,,,,,,,,2019/09/13 08:01:33+00
115.848457511,-31.9599631639999,86,,35,None,Yes,12,n/a,Low,,NARROWS INTERCHANGE,,,,,,,,2019/09/13 08:01:33+00
115.813747393,-31.972493049,87,,43,,,,,High,,HAMPDEN ROAD MAIN STREET,,,,,,,,2019/09/13 08:01:33+00
115.883566711,-31.9611418759999,88,,61,,,,,Low,,WATERBANK SITE H,,,,,,,,2019/09/13 08:01:33+00
115.859205128,-31.952915015,89,,20,High,No,,Built,High,,FORREST PLACE,,,,,,,,2019/09/13 08:01:33+00
115.847074299,-31.951637971,90,,68,,,,,Low,,PARLIAMENT HOUSE,,,,,,,,2019/09/13 08:01:33+00
115.859161027,-31.9577912299999,91,,29,None,Yes,12,n/a,High,,SUPREME COURT GARDENS,,,,,,,,2019/09/13 08:01:33+00
115.863161074,-31.955900469,92,,52,,,,,High,,CENTRAL LAW COURTS,,,,,,,,2019/09/13 08:01:33+00
115.870378606,-31.954094664,93,,56,None,Yes,12,n/a,Low,,WELLINGTON SQUARE,,,,,,,,2019/09/13 08:01:33+00
115.818570467,-31.987300165,94,,39,None,Yes,24,n/a,Low,,J H ABRAHAMS,,,,,,,,2019/09/13 08:01:33+00
115.85477526,-31.955098649,95,,82,,,,,High,,BROOKFIELD PLAZA FOOD COURT,,,,,,,,2019/09/13 08:01:33+00
115.860423401,-31.9507303889999,96,,4,,,,,High,,ROE STREET APT,,,,,,,,2019/09/13 08:01:33+00
115.858876976,-31.950869423,97,,18,,,,,High,,YAGAN SQUARE,,,,,,,,2019/09/13 08:01:33+00
115.876594247,-31.962820715,98,,46,,,,,Low,,OZONE RESERVE,,,,,,,,2019/09/13 08:01:33+00
115.856801142,-31.9465480769999,99,,7,High,No,,APT,High,,ABERDEEN ST CAR PARK,,,,,,,,2019/09/13 08:01:33+00
115.867640923,-31.960650184,100,,38,None,Yes,12,n/a,Low,,LANGLEY PARK RESERVE,,,,,,,,2019/09/13 08:01:33+00
115.859916807,-31.95369613,101,,77,,,,,High,,DAVID JONES,,,,,,,,2019/09/13 08:01:33+00
115.861628523,-31.949679924,102,,1,None,Yes,24,n/a,High,,MUSEUM OF WA,,,,,,,,2019/09/13 08:01:33+00
115.860120605,-31.9526321659999,103,,76,None,Yes,24,n/a,High,,MYER,,,,,,,,2019/09/13 08:01:33+00
115.816415858,-31.977912724,104,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.819425,-31.979899369,105,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.811989979,-31.976439038,106,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.876536769,-31.950655216,107,,62,,,,,Low,,BP PETROL STATION,,,,,,,,2019/09/13 08:01:33+00
115.819034873,-31.97639415,108,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.858020449,-31.9541754749999,109,,80,,,,,High,,ENEX100,,,,,,,,2019/09/13 08:01:33+00
115.85850532,-31.950269041,110,,18,,,,,High,,YAGAN SQUARE,,,,,,,,2019/09/13 08:01:33+00
115.854958787,-31.946981089,111,,10,None,Yes,24,n/a,High,,MILLIGAN / JAMES ST POP-UP TOI,,,,,,,,2019/09/13 08:01:33+00
115.819218072,-31.977155379,112,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.863150479,-31.959149192,113,,37,Medium,No,,APT,High,,TERRACE ROAD CAR PARK,,,,,,,,2019/09/13 08:01:33+00
115.870574334,-31.954986591,114,,56,Medium,No,,APT,Low,,WELLINGTON SQUARE,,,,,,,,2019/09/13 08:01:33+00
115.818200193,-31.9769216359999,115,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.816056087,-31.979156304,116,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.841383536,-31.9644542029999,117,,86,,,,,Low,,MOUNTS BAY CAR PARK,,,,,,,,2019/09/13 08:01:33+00
115.846288016,-31.959976259,118,,36,High,No,,APT,Low,,JOHN OLDHAM RESERVE,,,,,,,,2019/09/13 08:01:33+00
115.846061803,-31.9559691649999,119,,67,,,,,Low,,JACOB'S LADDER,,,,,,,,2019/09/13 08:01:33+00
115.836729,-31.9662729999999,120,,0,,,,,,,Kings Park,,,,,,,,2019/09/13 08:01:33+00
115.855179818,-31.94974852,121,,19,None,Yes,18,n/a,High,,KINGS SQUARE,,,,,,,,2019/09/13 08:01:33+00
115.860550012,-31.948997157,122,,12,,,,,High,,STATE LIBRARY,,,,,,,,2019/09/13 08:01:33+00
115.816936258,-31.979460547,123,,0,,,,,Low,,UWA,,,,,,,,2019/09/13 08:01:33+00
115.853215368,-31.9510144939999,124,,26,High,No,,Built,High,,MURRAY STREET ENTERTAINMENT PR,,,,,,,,2019/09/13 08:01:33+00
115.862421004,-31.9510645249999,125,,5,,,,,High,,30 BEAUFORT STREET,,,,,,,,2019/09/13 08:01:33+00
115.858211832,-31.9595465909999,126,,30,,,,,High,Barrack Square/ Bell tower,BARRACK SQUARE/BELL TOWER,,,,,,,,2019/09/13 08:01:33+00
